,Time,GYRx
221.08,1.137,0.883
221.085,1.142,0.883
221.089,1.146,0.411
221.094,1.151,0.411
221.098,1.155,0.411
221.103,1.160,0.323
221.108,1.165,0.323
221.112,1.169,0.122
221.117,1.174,0.122
221.122,1.179,-0.036
221.126,1.183,-0.036
221.131,1.188,-0.036
221.135,1.192,-0.377
221.14,1.197,-0.377
221.145,1.202,-0.429
221.149,1.206,-0.429
221.154,1.211,-0.823
221.159,1.216,-0.823
221.163,1.220,-0.823
221.168,1.225,-0.744
221.172,1.229,-0.744
221.177,1.234,-1.016
221.182,1.239,-1.016
221.186,1.243,-1.016
221.191,1.248,-0.508
221.196,1.253,-0.508
221.2,1.257,-0.342
221.205,1.262,-0.342
221.21,1.267,-0.351
221.214,1.271,-0.351
221.219,1.276,-0.351
221.223,1.280,-0.569
221.228,1.285,-0.569
221.233,1.290,-0.289
221.237,1.294,-0.289
221.242,1.299,-0.394
221.247,1.304,-0.394
221.251,1.308,-0.394
221.256,1.313,-0.254
221.261,1.318,-0.254
221.265,1.322,0.253
221.27,1.327,0.253
221.274,1.331,0.524
221.279,1.336,0.524
221.283,1.340,0.524
221.288,1.345,0.384
221.293,1.350,0.384
221.297,1.354,0.463
221.302,1.359,0.463
221.307,1.364,0.533
221.311,1.368,0.533
221.316,1.373,0.533
221.32,1.377,0.096
221.325,1.382,0.096
221.33,1.387,0.183
221.335,1.392,0.183
221.339,1.396,0.183
221.344,1.401,0.568
221.349,1.406,0.568
221.353,1.410,0.551
221.358,1.415,0.551
221.363,1.420,0.227
221.367,1.424,0.227
221.372,1.429,0.227
221.376,1.433,-0.097
221.381,1.438,-0.097
221.386,1.443,-0.272
221.39,1.447,-0.272
221.395,1.452,-0.377
221.4,1.457,-0.377
221.404,1.461,-0.377
221.409,1.466,-0.438
221.414,1.471,-0.438
221.418,1.475,-0.123
221.423,1.480,-0.123
221.428,1.485,-0.176
221.433,1.490,-0.176
221.437,1.494,-0.176
221.442,1.499,-0.246
221.447,1.504,-0.246
221.451,1.508,-0.289
221.456,1.513,-0.289
221.46,1.517,-0.316
221.465,1.522,-0.316
221.47,1.527,-0.316
221.474,1.531,-0.106
221.479,1.536,-0.106
221.484,1.541,-0.062
221.488,1.545,-0.062
221.493,1.550,-0.587
221.498,1.555,-0.587
221.502,1.559,-0.587
221.507,1.564,-0.587
221.511,1.568,-0.587
221.516,1.573,-0.421
221.52,1.577,-0.421
221.525,1.582,-0.193
221.53,1.587,-0.193
221.535,1.592,-0.193
221.539,1.596,0.034
221.544,1.601,0.034
221.548,1.605,0.157
221.553,1.610,0.157
221.557,1.614,0.157
221.562,1.619,0.113
221.567,1.624,0.113
221.571,1.628,0.446
221.576,1.633,0.446
221.581,1.638,0.034
221.585,1.642,0.034
221.59,1.647,0.034
221.595,1.652,-0.324
221.599,1.656,-0.324
221.604,1.661,-0.368
221.608,1.665,-0.368
221.613,1.670,-0.246
221.618,1.675,-0.246
221.622,1.679,-0.246
221.627,1.684,-0.001
221.632,1.689,-0.001
221.636,1.693,-0.132
221.641,1.698,-0.132
221.646,1.703,-0.254
221.65,1.707,-0.254
221.655,1.712,-0.254
221.659,1.716,-0.351
221.664,1.721,-0.351
221.669,1.726,-0.228
221.673,1.730,-0.228
221.678,1.735,-0.123
221.683,1.740,-0.123
221.687,1.744,-0.123
221.692,1.749,-0.097
221.697,1.754,-0.097
221.701,1.758,-0.473
221.706,1.763,-0.473
221.71,1.767,-0.473
221.715,1.772,-0.272
221.72,1.777,-0.272
221.725,1.782,-0.333
221.729,1.786,-0.333
221.734,1.791,-0.176
221.738,1.795,-0.176
221.743,1.800,-0.176
221.747,1.804,-0.141
221.752,1.809,-0.141
221.757,1.814,-0.167
221.761,1.818,-0.167
221.766,1.823,-0.044
